time_sec	time_nanosec	jac_det
1616424699	44781007	0.0224712
1616424699	54908760	0.0223885
1616424699	64875462	0.0223179
1616424699	74856910	0.0222603
1616424699	84924008	0.0222129
1616424699	97397535	0.022174
1616424699	104719131	0.0221555
1616424699	114824777	0.0221615
1616424699	124940092	0.0221842
1616424699	134853603	0.0221864
1616424699	144911982	0.0221898
1616424699	154790911	0.0222026
1616424699	164943781	0.0222027
1616424699	174908183	0.0221905
1616424699	184870830	0.0221799
1616424699	196764728	0.0221707
1616424699	204896826	0.0221272
1616424699	214919268	0.0221014
1616424699	224883595	0.0220815
1616424699	236872167	0.0220572
1616424699	245123730	0.0220353
1616424699	254834584	0.022019
1616424699	266676665	0.0220049
1616424699	274796795	0.0220022
1616424699	284898328	0.0220013
1616424699	296650588	0.0220001
1616424699	304940271	0.021981
1616424699	314883025	0.0219717
1616424699	324797983	0.0219683
1616424699	334961410	0.0219501
1616424699	344907489	0.0219342
1616424699	354864092	0.0219033
1616424699	364963879	0.0218885
1616424699	375108283	0.0218726
1616424699	384835984	0.0218576
1616424699	394880895	0.0218442
1616424699	404832047	0.0218172
1616424699	414956401	0.021796
1616424699	425048891	0.0217803
1616424699	434890667	0.0217627
1616424699	444855814	0.0217453
1616424699	454897876	0.021709
1616424699	464950084	0.0216901
1616424699	474837593	0.0216705
1616424699	484817801	0.0216448
1616424699	494875432	0.0216253
1616424699	507086017	0.0215721
1616424699	514885906	0.0215505
1616424699	525110495	0.0215268
1616424699	534781506	0.0215001
1616424699	544951089	0.0214803
1616424699	554846821	0.0214299
1616424699	565083055	0.0214011
1616424699	576967923	0.0213733
1616424699	584816044	0.0213468
1616424699	594957300	0.0213265
1616424699	605090116	0.021282
1616424699	614818030	0.0212584
1616424699	626851320	0.0212335
1616424699	634994137	0.021213
1616424699	644945754	0.0211938
1616424699	654788346	0.0211435
1616424699	664905760	0.0211272
1616424699	674894025	0.0211076
1616424699	684686420	0.0210857
1616424699	694919134	0.0210616
1616424699	704793787	0.0210199
1616424699	714862968	0.0210019
1616424699	724954104	0.0209729
1616424699	736999732	0.0209478
1616424699	744907928	0.0209312
1616424699	754761375	0.020883
1616424699	764808996	0.0208598
1616424699	775121574	0.0208366
1616424699	784855684	0.0208135
1616424699	794940794	0.0207942
1616424699	804882007	0.0207465
1616424699	816974699	0.0207255
1616424699	827401858	0.0207045
1616424699	834748705	0.0206855
1616424699	844793310	0.0206609
1616424699	854939177	0.0206153
1616424699	864828252	0.0205922
1616424699	874836650	0.0205749
1616424699	884861913	0.0205499
1616424699	894958302	0.0205244
1616424699	904828918	0.0204824
1616424699	916945137	0.0204593
1616424699	924977831	0.0204373
1616424699	935000407	0.0204114
1616424699	945133472	0.0203886
1616424699	954813618	0.0203453
1616424699	964868330	0.0203126
1616424699	974846448	0.0202894
1616424699	984887044	0.0202636
1616424699	995059891	0.0202449
1616424700	7432221	0.0201962
1616424700	14806223	0.020172
1616424700	25034653	0.0201551
1616424700	34981974	0.0201326
1616424700	44986091	0.0200953
1616424700	54822750	0.0200623
1616424700	64791563	0.0200156
1616424700	75164821	0.0199889
1616424700	84778094	0.0199632
1616424700	94924113	0.0199352
1616424700	104991579	0.019871
1616424700	117308473	0.019843
1616424700	124805409	0.0198043
1616424700	134883143	0.0197743
1616424700	147269790	0.0197517
1616424700	154819340	0.0196839
1616424700	164879922	0.0196535
1616424700	177007622	0.0196277
1616424700	184835260	0.0195911
1616424700	194803933	0.0195625
1616424700	204923916	0.0195062
1616424700	214835564	0.0194756
1616424700	224977326	0.0194485
1616424700	234782480	0.0194164
1616424700	244773290	0.0193963
1616424700	254939467	0.0193455
1616424700	264762855	0.019324
1616424700	274869282	0.0192955
1616424700	284832330	0.0192742
1616424700	294929307	0.0192493
1616424700	304953521	0.0191965
1616424700	314914050	0.0191776
1616424700	325008862	0.0191584
1616424700	334842531	0.0191374
1616424700	344977575	0.0191169
1616424700	354840005	0.0190824
1616424700	364827751	0.0190571
1616424700	374893833	0.0190411
1616424700	384854147	0.0190177
1616424700	394936170	0.0189947
1616424700	404808614	0.0189523
1616424700	414836535	0.0189291
1616424700	427385956	0.0189082
1616424700	436986016	0.0188824
1616424700	444970690	0.0188612
1616424700	454711997	0.0188189
1616424700	464853244	0.0188066
1616424700	474978550	0.0187786
1616424700	484936391	0.01876
1616424700	494906984	0.0187369
1616424700	504814927	0.018696
1616424700	514780001	0.0186711
1616424700	524913088	0.0186546
1616424700	534864981	0.0186328
1616424700	544881320	0.0186051
1616424700	554800155	0.0185641
1616424700	564808371	0.0185433
1616424700	574879397	0.0185198
1616424700	584846863	0.0184967
1616424700	594947241	0.0184639
1616424700	604861336	0.0184109
1616424700	614815986	0.0183858
1616424700	624889312	0.0183626
1616424700	634978650	0.0183329
1616424700	644990605	0.0183081
1616424700	654810828	0.0182659
1616424700	664841498	0.0182379
1616424700	674867193	0.0182199
1616424700	684916920	0.0181975
1616424700	696925605	0.018177
1616424700	704870455	0.0181267
1616424700	714922694	0.018109
1616424700	725060730	0.0180808
1616424700	734852047	0.0180585
1616424700	744866296	0.0180309
1616424700	754883124	0.0179868
1616424700	764862948	0.017966
1616424700	774968654	0.0179437
1616424700	784940661	0.01792
1616424700	794918179	0.017896
1616424700	804976197	0.0178527
1616424700	814775106	0.0178302
1616424700	824978634	0.0178136
1616424700	834769863	0.0177892
1616424700	844846036	0.0177706
1616424700	854903093	0.0177263
1616424700	864882853	0.0176959
1616424700	877307888	0.0176793
1616424700	887369643	0.0176547
1616424700	894771951	0.0176364
1616424700	904811733	0.0175933
1616424700	914770904	0.0175745
1616424700	926729109	0.0175549
1616424700	935030042	0.0175319
1616424700	946847488	0.0175139
1616424700	954897659	0.0174741
1616424700	964936408	0.0174589
1616424700	974998010	0.017441
1616424700	984999532	0.0174188
1616424700	994898451	0.0173977
1616424701	7463486	0.0173667
1616424701	14846500	0.0173485
1616424701	27138770	0.0173281
1616424701	34870553	0.0173162
1616424701	44925755	0.0172932
1616424701	55023811	0.0172607
1616424701	64889491	0.0172401
1616424701	74820596	0.0172224
1616424701	85000311	0.0172049
1616424701	94854433	0.0171864
1616424701	104854321	0.0171485
1616424701	117129469	0.0171304
1616424701	125046133	0.0171051
1616424701	134839984	0.0170869
1616424701	144850823	0.0170642
1616424701	154841343	0.0170175
1616424701	164799576	0.0169987
1616424701	174805001	0.0169707
1616424701	184855504	0.0169499
1616424701	195011665	0.0169232
1616424701	204900122	0.0168772
1616424701	216876259	0.0168609
